[15/May/2024 02:52:14] INFO [django.utils.autoreload:668] Watching for file changes with StatReloader
[15/May/2024 02:52:14] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[15/May/2024 02:52:14] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[15/May/2024 02:52:14] DEBUG [django.utils.autoreload:296] Watching dir /Users/lizwi/dev/free_codecamp/django_tailwind_app/templates with glob **/*.
[15/May/2024 02:52:14] DEBUG [django.utils.autoreload:296] Watching dir /Users/lizwi/miniconda3/envs/django_tailwind_app/lib/python3.12/site-packages/compressor/templates with glob **/*.
[15/May/2024 02:52:14] DEBUG [django.utils.autoreload:296] Watching dir /Users/lizwi/dev/free_codecamp/django_tailwind_app/locale with glob **/*.mo.
[15/May/2024 02:52:14] DEBUG [django.utils.autoreload:296] Watching dir /Users/lizwi/miniconda3/envs/django_tailwind_app/lib/python3.12/site-packages/compressor/locale with glob **/*.mo.
[15/May/2024 02:52:15] DEBUG [django.utils.autoreload:394] File /Users/lizwi/miniconda3/envs/django_tailwind_app/lib/python3.12/site-packages/django/core/checks/security/sessions.py first seen with mtime 1714709457.8882492
[15/May/2024 02:52:15] DEBUG [django.utils.autoreload:394] File /Users/lizwi/miniconda3/envs/django_tailwind_app/lib/python3.12/site-packages/django/core/handlers/asgi.py first seen with mtime 1714709457.8899689
[15/May/2024 02:52:15] DEBUG [django.utils.autoreload:394] File /Users/lizwi/miniconda3/envs/django_tailwind_app/lib/python3.12/site-packages/django/core/checks/files.py first seen with mtime 1714709457.887169
[15/May/2024 02:52:15] DEBUG [django.utils.autoreload:394] File /Users/lizwi/miniconda3/envs/django_tailwind_app/lib/python3.12/site-packages/django/template/loader.py first seen with mtime 1714709457.9262261
[15/May/2024 02:52:15] DEBUG [django.utils.autoreload:394] File /Users/lizwi/miniconda3/envs/django_tailwind_app/lib/python3.12/site-packages/django/contrib/auth/hashers.py first seen with mtime 1714709457.6148016
[15/May/2024 02:52:15] DEBUG [django.utils.autoreload:394] File /Users/lizwi/miniconda3/envs/django_tailwind_app/lib/python3.12/enum.py first seen with mtime 1713545649.868406
[15/May/2024 02:52:15] DEBUG [django.utils.autoreload:394] File /Users/lizwi/miniconda3/envs/django_tailwind_app/lib/python3.12/warnings.py first seen with mtime 1713545650.3099139
[15/May/2024 02:52:15] DEBUG [django.utils.autoreload:394] File /Users/lizwi/miniconda3/envs/django_tailwind_app/lib/python3.12/asyncio/base_subprocess.py first seen with mtime 1713545650.3757038
[15/May/2024 02:52:15] DEBUG [django.utils.autoreload:394] File /Users/lizwi/miniconda3/envs/django_tailwind_app/lib/python3.12/site-packages/django/template/loaders/__init__.py first seen with mtime 1714709457.9272008
[15/May/2024 02:52:15] DEBUG [django.utils.autoreload:394] File /Users/lizwi/miniconda3/envs/django_tailwind_app/lib/python3.12/urllib/request.py first seen with mtime 1713545652.8978438
